pair,entry_z,exit_z,PnL
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.2,0.2,4492.5
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.2,0.15,4363.5
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.2,0.3,4229.5
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.0,0.2,3995.5
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.0,0.3,3859.0
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.0,0.15,3851.0
"('CHADS_STOCKS', 'JOHNS_STOCKS')",0.8,0.15,3293.5
"('CHADS_STOCKS', 'JOHNS_STOCKS')",0.8,0.2,3230.0
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.5,0.2,3160.0
"('CHADS_STOCKS', 'JOHNS_STOCKS')",0.8,0.3,3101.0
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.5,0.3,3064.0
"('CHADS_STOCKS', 'JOHNS_STOCKS')",1.5,0.15,2886.5
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.5,0.15,636.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.2,0.15,475.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.0,0.15,367.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.5,0.2,312.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.2,0.2,308.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.0,0.2,182.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",0.8,0.15,116.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.5,0.3,-11.5
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.2,0.3,-47.5
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",0.8,0.2,-148.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",1.0,0.3,-158.0
"('HATFIELD_STOCKS', 'COLLINGWOOD_STOCKS')",0.8,0.3,-544.0
